name,price,url
Almost Perfect, £2.25,/products/almost-perfect
Hot Chocolate Shaker, £8.50,/products/hot-chocolate-shaker-new
Salted Caramel,£5.00,/products/blonde-chocolate-sea-salt
Milk Chocolate Honeycomb - Bag,£8.50,/products/milk-chocolate-honeycomb
Blonde Chocolate Honeycomb - Bag,£8.50,/products/blonde-chocolate-sea-salt-honeycomb
Dark Chocolate Orange Peel,£10.00,/products/dark-chocolate-orange-peel
Dark Chocolate Honeycomb - Bag,£8.50,/products/dark-chocolate-honeycomb
Dark Chocolate Ginger,£8.95,/products/dark-chocolate-ginger
Salted Caramels Dark Chocolate,£19.99,/products/salt-caramels-dark-chocolate
Blonde Chocolate Truffles,£19.99,/products/blonde-chocolate-truffles
Tea & Biscuit Blonde Chocolate Easter Egg,£29.50,/products/pre-order-tea-biscuit-easter-egg
Flat White Coffee,£5.00,/products/flat-white-coffee
Colombia 61%,£5.00,/products/colombian-dark-chocolate-bar
Dark Chocolate Truffles,£19.99,/products/dark-chocolate-truffles
61% Dark Hot Chocolate Drops,£8.75,/products/62-dark-hot-chocolate
Milk Chocolate Truffles,£19.99,/products/milk-chocolate-truffles
Honeycomb Crunch,£5.00,/products/honeycomb-crunch
Christmas Cracker,£5.00,/products/christmas-cracker-chocolate-bar
Salt Caramelised Hazelnuts,£6.25,/products/salt-caramelised-hazelnuts
Blonde Caramel,£5.00,/products/blonde-caramel-chocolate-bar
Ecudorian 41%,£5.00,/products/ecuadorian-41-milk-chocolate-bar
Marmalade,£5.00,/products/marmalade-orange-chocolate-bar
Caramelised Almonds,£6.25,/products/cocoa-dusted-almonds
Salted Caramels Milk Chocolate,£19.99,/products/salt-caramels-milk-chocolate
Chocolate Caramelised Pecan Nuts,£6.25,/products/chocolate-caramelised-pecan-nuts
Assorted Chocolate Malt Balls,£9.00,/products/assorted-chocolate-malt-balls
41% Milk Hot Chocolate Drops,£8.75,/products/41-colombian-milk-hot-chocolate-drops
Salted Caramel Florentines,£12.50,/products/salted-caramel-florentines
Peppermint Swirl,£5.00,/products/peppermint-swirl-chocolate-bar
Ginger Biscuit,£5.00,/products/ginger-biscuit-chocolate-bar
Blonde Chocolate Malt Balls,£9.00,/products/blonde-chocolate-malt-balls
Caramelised Milk,£5.00,/products/caramelised-milk-chocolate-bar
Pistachio & Cranberry,£5.00,/products/pistachio-cranberry-chocolate-bar
Milk Chocolate Malt Balls,£9.00,/products/milk-chocolate-malt-balls
Cinnamon Toast,£5.00,/products/cinnamon-toast-chocolate-bar
Bulk 61% Dark Hot Chocolate Drops 750 grams,£17.50,/products/750-gram-bulk-61-dark-hot-chocolate-drops
Crunchy Biscuit,£5.00,/products/crunchy-biscuit-blonde-chocolate-bar
Milk Chocolate Honeycomb Egg & Honeycomb (Large),£25.00,/products/hokey-pokey-large-milkey-egg-honeycomb
Pretzel Caramel,£5.00,/products/pretzel-caramel-chocolate-bar
Marc De Champagne Truffles,£14.99,/products/marc-de-champagne-truffles
Hokey Pokey Milkey Egg (Small),£10.00,/products/hokey-pokey-small-milkey-egg
2.5kg Bulk 61% Dark Hot Chocolate Drops,£50.00,/products/2-5kg-of-our-best-selling-61-dark-hot-chocolate-drops
Dark Chocolate Malt Balls,£9.00,/products/dark-chocolate-malt-balls
Hokey Pokey Blondie Egg & Honeycomb (Large),£25.00,/products/hokey-pokey-large-blondie-egg-honeycomb
Dark Chocolate Honeycomb Egg & Honeycomb (Large),£25.00,/products/hokey-pokey-large-wicked-egg-honeycomb
Bulk 41% Milk Hot Chocolate Drops 750 grams,£17.50,/products/bulk-41-milk-hot-chocolate-drops-750-grams
Hokey Pokey Wicked Egg (Small),£10.00,/products/hokey-pokey-small-wicked-egg
Velvet White,£5.00,/products/velvet-white-chocolate-bar
Salted Caramel Quail Eggs,£12.50,/products/salted-caramel-quail-eggs
Praline Quail Eggs,£12.50,/products/praline-quail-eggs
Hokey Pokey Blondie Egg (Small),£10.00,/products/hokey-pokey-small-blondie-egg
Tea & Biscuit,£5.00,/products/tea-biscuit-chocolate-bar
Salt Caramel Malt Balls,£9.00,/products/salt-caramel-malt-balls
Chai Caramel Latte,£5.00,/products/chai-caramel-latte
Salted Caramels Blonde Chocolate,£19.95,/products/salted-caramels-blonde-chocolate
Gift Voucher, £10.00,/products/gift-voucher
Peppermint Malt Balls,£9.00,/products/peppermint-malt-balls
Orange Malt Balls,£7.50,/products/orange-malt-balls
2.5kg Bulk 41% Milk Hot Chocolate Drops,£50.00,/products/2-5kg-bulk-of-our-41-milk-hot-chocolate-drops
Chocolate Celebration Hamper,£55.00,/products/celebration-hamper
Collection of 4 of our Best Selling Chocolate Malt Balls,£30.00,/products/collection-of-our-best-selling-chocolate-malt-balls
500g Foil Wrapped Milk Chocolate Mini Eggs,£20.00,/products/pre-order-ecuadorian-foil-wrapped-solid-chocolate-mini-eggs
Pretzel Caramel Easter Egg & Truffles,£29.50,/products/copy-of-flat-white-coffee-easter-egg-truffles
Flat White Coffee Easter Egg & Truffles,£29.50,/products/flat-white-coffee-easter-egg-truffles
Raspberry Pavlova White Chocolate Easter Egg,£29.50,/products/raspberry-pavlova-white-chocolate-easter-egg
Luxury Hot Chocolate Hamper,£55.00,/products/luxury-hot-chocolate-hamper
The Artisan - Spotlight Box,£35.00,/products/spotlight-box-copy
The Master Chocolatier - Spotlight Box,£60.00,/products/spotlight-box-3
The Explorer - Spotlight Box,£20.00,/products/spotlight-box-2
