name,price,url
Ecudorian 41%,5.00,https://www.chocolate.co.uk/products/ecuadorian-41-milk-chocolate-bar
Marmalade,5.00,https://www.chocolate.co.uk/products/marmalade-orange-chocolate-bar
Caramelised Almonds,6.25,https://www.chocolate.co.uk/products/cocoa-dusted-almonds
Salted Caramels Milk Chocolate,19.99,https://www.chocolate.co.uk/products/salt-caramels-milk-chocolate
Chocolate Caramelised Pecan Nuts,6.25,https://www.chocolate.co.uk/products/chocolate-caramelised-pecan-nuts
Assorted Chocolate Malt Balls,9.00,https://www.chocolate.co.uk/products/assorted-chocolate-malt-balls
41% Milk Hot Chocolate Drops,8.75,https://www.chocolate.co.uk/products/41-colombian-milk-hot-chocolate-drops
Salted Caramel Florentines,12.50,https://www.chocolate.co.uk/products/salted-caramel-florentines
Ginger Biscuit,5.00,https://www.chocolate.co.uk/products/ginger-biscuit-chocolate-bar
Peppermint Swirl,5.00,https://www.chocolate.co.uk/products/peppermint-swirl-chocolate-bar
