name,price,url
Almost Perfect,2.25,https://www.chocolate.co.uk/products/almost-perfect
Hot Chocolate Shaker,8.50,https://www.chocolate.co.uk/products/hot-chocolate-shaker-new
Salted Caramel,5.00,https://www.chocolate.co.uk/products/blonde-chocolate-sea-salt
Milk Chocolate Honeycomb - Bag,8.50,https://www.chocolate.co.uk/products/milk-chocolate-honeycomb
Blonde Chocolate Honeycomb - Bag,8.50,https://www.chocolate.co.uk/products/blonde-chocolate-sea-salt-honeycomb
Dark Chocolate Orange Peel,10.00,https://www.chocolate.co.uk/products/dark-chocolate-orange-peel
Dark Chocolate Honeycomb - Bag,8.50,https://www.chocolate.co.uk/products/dark-chocolate-honeycomb
Dark Chocolate Ginger,8.95,https://www.chocolate.co.uk/products/dark-chocolate-ginger
Salted Caramels Dark Chocolate,19.99,https://www.chocolate.co.uk/products/salt-caramels-dark-chocolate
Blonde Chocolate Truffles,19.99,https://www.chocolate.co.uk/products/blonde-chocolate-truffles
Tea & Biscuit Blonde Chocolate Easter Egg,29.50,https://www.chocolate.co.uk/products/pre-order-tea-biscuit-easter-egg
Flat White Coffee,5.00,https://www.chocolate.co.uk/products/flat-white-coffee
Colombia 61%,5.00,https://www.chocolate.co.uk/products/colombian-dark-chocolate-bar
Dark Chocolate Truffles,19.99,https://www.chocolate.co.uk/products/dark-chocolate-truffles
61% Dark Hot Chocolate Drops,8.75,https://www.chocolate.co.uk/products/62-dark-hot-chocolate
Milk Chocolate Truffles,19.99,https://www.chocolate.co.uk/products/milk-chocolate-truffles
Honeycomb Crunch,5.00,https://www.chocolate.co.uk/products/honeycomb-crunch
Christmas Cracker,5.00,https://www.chocolate.co.uk/products/christmas-cracker-chocolate-bar
Salt Caramelised Hazelnuts,6.25,https://www.chocolate.co.uk/products/salt-caramelised-hazelnuts
Blonde Caramel,5.00,https://www.chocolate.co.uk/products/blonde-caramel-chocolate-bar
Ecudorian 41%,5.00,https://www.chocolate.co.uk/products/ecuadorian-41-milk-chocolate-bar
Marmalade,5.00,https://www.chocolate.co.uk/products/marmalade-orange-chocolate-bar
Caramelised Almonds,6.25,https://www.chocolate.co.uk/products/cocoa-dusted-almonds
Salted Caramels Milk Chocolate,19.99,https://www.chocolate.co.uk/products/salt-caramels-milk-chocolate
Chocolate Caramelised Pecan Nuts,6.25,https://www.chocolate.co.uk/products/chocolate-caramelised-pecan-nuts
Assorted Chocolate Malt Balls,9.00,https://www.chocolate.co.uk/products/assorted-chocolate-malt-balls
41% Milk Hot Chocolate Drops,8.75,https://www.chocolate.co.uk/products/41-colombian-milk-hot-chocolate-drops
Salted Caramel Florentines,12.50,https://www.chocolate.co.uk/products/salted-caramel-florentines
Ginger Biscuit,5.00,https://www.chocolate.co.uk/products/ginger-biscuit-chocolate-bar
Peppermint Swirl,5.00,https://www.chocolate.co.uk/products/peppermint-swirl-chocolate-bar
Blonde Chocolate Malt Balls,9.00,https://www.chocolate.co.uk/products/blonde-chocolate-malt-balls
Caramelised Milk,5.00,https://www.chocolate.co.uk/products/caramelised-milk-chocolate-bar
Pistachio & Cranberry,5.00,https://www.chocolate.co.uk/products/pistachio-cranberry-chocolate-bar
Milk Chocolate Malt Balls,9.00,https://www.chocolate.co.uk/products/milk-chocolate-malt-balls
Cinnamon Toast,5.00,https://www.chocolate.co.uk/products/cinnamon-toast-chocolate-bar
Bulk 61% Dark Hot Chocolate Drops 750 grams,17.50,https://www.chocolate.co.uk/products/750-gram-bulk-61-dark-hot-chocolate-drops
Crunchy Biscuit,5.00,https://www.chocolate.co.uk/products/crunchy-biscuit-blonde-chocolate-bar
Milk Chocolate Honeycomb Egg & Honeycomb (Large),25.00,https://www.chocolate.co.uk/products/hokey-pokey-large-milkey-egg-honeycomb
Pretzel Caramel,5.00,https://www.chocolate.co.uk/products/pretzel-caramel-chocolate-bar
Marc De Champagne Truffles,14.99,https://www.chocolate.co.uk/products/marc-de-champagne-truffles
Hokey Pokey Milkey Egg (Small),10.00,https://www.chocolate.co.uk/products/hokey-pokey-small-milkey-egg
2.5kg Bulk 61% Dark Hot Chocolate Drops,50.00,https://www.chocolate.co.uk/products/2-5kg-of-our-best-selling-61-dark-hot-chocolate-drops
Dark Chocolate Malt Balls,9.00,https://www.chocolate.co.uk/products/dark-chocolate-malt-balls
Hokey Pokey Blondie Egg & Honeycomb (Large),25.00,https://www.chocolate.co.uk/products/hokey-pokey-large-blondie-egg-honeycomb
Dark Chocolate Honeycomb Egg & Honeycomb (Large),25.00,https://www.chocolate.co.uk/products/hokey-pokey-large-wicked-egg-honeycomb
Bulk 41% Milk Hot Chocolate Drops 750 grams,17.50,https://www.chocolate.co.uk/products/bulk-41-milk-hot-chocolate-drops-750-grams
Hokey Pokey Wicked Egg (Small),10.00,https://www.chocolate.co.uk/products/hokey-pokey-small-wicked-egg
Velvet White,5.00,https://www.chocolate.co.uk/products/velvet-white-chocolate-bar
Salted Caramel Quail Eggs,12.50,https://www.chocolate.co.uk/products/salted-caramel-quail-eggs
Praline Quail Eggs,12.50,https://www.chocolate.co.uk/products/praline-quail-eggs
Hokey Pokey Blondie Egg (Small),10.00,https://www.chocolate.co.uk/products/hokey-pokey-small-blondie-egg
Tea & Biscuit,5.00,https://www.chocolate.co.uk/products/tea-biscuit-chocolate-bar
Salt Caramel Malt Balls,9.00,https://www.chocolate.co.uk/products/salt-caramel-malt-balls
Chai Caramel Latte,5.00,https://www.chocolate.co.uk/products/chai-caramel-latte
Salted Caramels Blonde Chocolate,19.95,https://www.chocolate.co.uk/products/salted-caramels-blonde-chocolate
Gift Voucher,10.00,https://www.chocolate.co.uk/products/gift-voucher
Peppermint Malt Balls,9.00,https://www.chocolate.co.uk/products/peppermint-malt-balls
Orange Malt Balls,7.50,https://www.chocolate.co.uk/products/orange-malt-balls
2.5kg Bulk 41% Milk Hot Chocolate Drops,50.00,https://www.chocolate.co.uk/products/2-5kg-bulk-of-our-41-milk-hot-chocolate-drops
Chocolate Celebration Hamper,55.00,https://www.chocolate.co.uk/products/celebration-hamper
Collection of 4 of our Best Selling Chocolate Malt Balls,30.00,https://www.chocolate.co.uk/products/collection-of-our-best-selling-chocolate-malt-balls
Pretzel Caramel Easter Egg & Truffles,29.50,https://www.chocolate.co.uk/products/copy-of-flat-white-coffee-easter-egg-truffles
500g Foil Wrapped Milk Chocolate Mini Eggs,20.00,https://www.chocolate.co.uk/products/pre-order-ecuadorian-foil-wrapped-solid-chocolate-mini-eggs
Flat White Coffee Easter Egg & Truffles,29.50,https://www.chocolate.co.uk/products/flat-white-coffee-easter-egg-truffles
Raspberry Pavlova White Chocolate Easter Egg,29.50,https://www.chocolate.co.uk/products/raspberry-pavlova-white-chocolate-easter-egg
Luxury Hot Chocolate Hamper,55.00,https://www.chocolate.co.uk/products/luxury-hot-chocolate-hamper
The Artisan - Spotlight Box,35.00,https://www.chocolate.co.uk/products/spotlight-box-copy
The Master Chocolatier - Spotlight Box,60.00,https://www.chocolate.co.uk/products/spotlight-box-3
The Explorer - Spotlight Box,20.00,https://www.chocolate.co.uk/products/spotlight-box-2
